shed	棚子；脱落；流下
allege	声称；断言
panic	恐慌；使恐慌
reel	卷轴；旋转；蹒跚
exploit	利用；开发；英勇事迹
royal	王室的；皇家的
royalty	王权；版税；皇家
loyal	忠诚的；忠心的
loyalty	忠诚；忠心
fireman	消防员
fireplace	壁炉
reckless	鲁莽的；不顾后果的
extent	范围；程度；广度
remainder	剩余物；其余部分
virtual	虚拟的；实际上的；几乎
status	地位；状态；情形
statute	法令；法规；章程
inevitable	不可避免的；必然的
index	索引；标志；指标
learned	学识渊博的；学术的
learning	学习；学问；知识
quiz	小测验；恶作剧；问答比赛
relevant	相关的；切题的；中肯的
hinder	妨碍；阻止；延迟
notion	概念；观念；看法
kidnap	绑架
napkin	餐巾；纸巾
expertise	专业知识；专门技能
refer	提到；参考；涉及
reference	参考；提及；文献
tile	瓷砖；瓦片
tongue	舌头；语言；口音
rail	铁轨；栏杆；抱怨
railroad	铁路；铁道
puzzle	谜题；困惑；使困惑
sophisticated	复杂的；精密的；老练的
mortgage	抵押贷款；借款
coincide	同时发生；巧合；一致
coincidence	巧合；一致
silicon	硅
famine	饥荒；饥馑
stress	压力；重音；强调
acre	英亩；土地
alcohol	酒精；含酒精饮料
mammal	哺乳动物
plight	困境；苦境
imperative	必要的；命令的；紧急的
suck	吸；吮；吸吮
sprout	发芽；萌芽；嫩芽
formula	公式；配方；规划
formulate	阐明；制定；规划
wretched	可怜的；不幸的；糟糕的
dynamic	动态的；有活力的；动力的
silly	愚蠢的；傻的；可笑的
towel	毛巾；擦拭
utmost	极度的；最大的；最远的
parachute	降落伞；跳伞
habitat	栖息地；生活环境
humanity	人类；人性；人道
entail	使...必须；涉及；继承
chronic	长期的；慢性的；习惯性的
contrive	设计；发明；巧妙安排
resent	怨恼；愤恼；不满
fundamental	基础的；基本的；根本的
implement	工具；实现；执行
splash	溅；飞溅；引人注目
uproar	骚动；喧闹；激烈反应
phase	阶段；时期；相位
denounce	谴责；指责
doom	厄运；命运；注定
hut	小屋；棚屋
amaze	使吃惊；使惊奇
flee	逃跑；逃走；避开
owl	猫头鹰；夜行动物
angle	角度；角；观点
allowance	津贴；补贴；允许
lateral	横向的；旁边的；侧面的
rigorous	严格的；严酷的；严密的
track	轨道；小路；追踪
escape	逃脱；避开；逃跑
drunk	醉的；喝醉的；醉酒
absurd	荒谬的；可笑的；荒唐的
instrumental	有帮助的；仪器的；起作用的
liter	升；公升
trap	陷阱；困境；捕捉
feeble	虚弱的；无力的；微弱的
arch	拱形；弓形；主要的
ballot	投票；选举；投票表决
dam	水坝；阻止；拦截
ruler	统治者；尺子；直尺
counsel	建议；劝告；律师
recipe	食谱；秘诀；方法
fabulous	极好的；难以置信的；寓言式的
lad	男孩；小伙子
render	使成为；提供；渲染
dean	院长；主任；教务长
boast	吹嘘；自夸；炫耀
domestic	国内的；家庭的；家务的
witch	女巫；妖女
soar	飞翔；高飞；猛增
chimney	烟囱；炉管
skim	撇去；略读；滑过
rejoice	高兴；欢庆；庆祝
knob	门把手；旋钮；小球
fume	烟；气体；冒烟
enrich	丰富；使富裕；提高
pail	桶；水桶；一桶
deadly	致命的；致死的；极其
optimum	最佳的；最优的
digital	数字的；数码的
guilt	罪恶感；内疚；有罪
guilty	有罪的；内疚的；犯错的
seize	抓住；夺取；占领
sue	起诉；控告；请求
static	静态的；静止的；静电
lavatory	厕所；盥洗室；卫生间
consume	消耗；消费；吃喝
consumption	消费；消耗；摄入
personality	个性；性格；人格
personnel	人员；人事；员工
restrict	限制；约束；限定
naughty	顽皮的；淘气的；不听话的
approximate	大约的；接近的；近似的
peak	山顶；高峰；顶点
breeze	微风；轻风；和风
grateful	感激的；感谢的
stride	大步；进展；跨步
clerk	职员；办事员；店员
board	板；委员会；董事会
hydrogen	氢；氢气
adolescent	青少年；青春期的
spill	溢出；洒出；泄漏
somehow	不知怎么地；以某种方式；不知为什么
somewhat	稍微；有点；某种程度上
hint	暗示；提示；线索
buffer	缓冲区；缓冲器；缓冲物
earnest	认真的；诚恳的；热心的
kit	工具包；设备；成套物品
tailor	裁缝；定制；调整
steel	钢铁；钢材
wire	电线；金属丝；电缆
ingenious	巧妙的；机灵的；有创造力的
vote	投票；选举；表决
prime	主要的；最重要的；顶级的
primary	主要的；初级的；原始的
primitive	原始的；粗糙的；远古的
contrary	相反的；对立的；逆向的
advanced	先进的；高阶的；发展的
spouse	配偶
leisure	闲暇；空闲；休闲
mere	仅仅的；仅是；微不足道的
merely	仅仅；不过是；只是
dense	密集的；浓密的；迟钝的
density	密度；浓度；密集度
bound	有义务的；被束缚的；边界
boundary	边界；分界线；界限
panorama	全景；概述；全貌
assistant	助理；助手；协助
dealer	经销商；商人；赌徒
dispose	处理；处置；安排
disposal	处置；清除；支配
disposition	性格；气质；处置
stroll	散步；漫步；闲逛
bore	使厌烦；钻孔；令人厌烦的人
accompany	陪伴；伴随；和…一起
vicinity	邻近；周围地区；附近
census	人口普查；统计；调查
