abandon	抛弃，放弃
abnormal	不正常的
absurd	荒谬的
abundant	丰富的
acute	  敏锐的，锋利的
aggressive	 侵略的，好斗的
ambiguous	  模棱两可的，模糊的
ambitious	有雄心的，有抱负的
appropriate	合适的，恰当的
authentic	可靠的，可信的
average	一般的，普通的
barren	贫瘠的，不毛的
bound	一定的
chronic	慢性的
commentary	实况报道
compact	紧凑的，小巧的
competitive	竞争性的，具有竞争力的
compact	紧凑的，小巧的
competitive	竞争性的，具有竞争力的
compulsory	强迫的，强制的，义务的
confidential	机紧的，秘密的
conservative	保守的，传统的
consistent	和……一致
conspicuous	显而易见的，引人注目的
crucial	关键的
current	当前的
decent	体面的，像样的，还不错的
delicate	精细的，微妙的，精心处理的
destructive 	毁灭的
economic	经济的
elegant	优雅的，优美的，精致的
embarrassing	令人尴尬的
energetic	精力充沛的
equivalent	相等的
eternal	永恒的，无休止的
exclusive	独有的，排他的
extinct	灭绝的，绝种的
fatal	致命的，毁灭性的
feasible	可行的
feeble	脆弱的，虚弱的
rough	粗略的，不精确的
rude	粗鲁的，不礼貌的
sensitive	敏感的
sheer 	完全的，十足的
shrewd	精明的
stationary	固定的
subordinate	次要的，从属的
subtle	微妙的，精巧的，细微的
superficial	肤浅的
suspicious	对……怀疑
gloomy	暗淡的
greasy	油腻的
identical	相同的，一样的
imaginative	富有想象力的，爱想象的
inaccessible	不可接近的，难以达到的
inadequate	不充分的，不适当的
incredible	难以置信的
indignant	生气的，愤怒的
infectious	传染的，传染性的
inferior	较次的，较劣的
inferior	地位较低的，较差的
inherent	固有的，生来的
inspirational	灵感的
intent	专心的，专注的
intricate	复杂精细的
intrinsic	固有的，本质的，内在的
irreplaceable	不能替换的，不能代替的
literal	文字的，字面的，逐字逐句的
massive	大规模的，大量的
merciful	仁慈的，宽大的
mobile	活动的，流动的
naive	  言行自然而天真的，质朴的
negligible	可忽略的，微不足道的
notorious	臭名昭著的，声名狼藉的
obedient	服从的，顺从的
obscure	模糊不清的
optimistic	乐观的
original	原先的，最早的
pathetic	悲哀的，悲惨的
persistent	坚持不懈的
potential	可能的，潜在的
prevalent	普遍的，流行的
primitive	原始的，早期的
proficient	熟练的，精通的
profound	深刻的，深远的
prominent	突出的，杰出的
prompt	即刻的，迅速的
raw	自然状态的，未加工的
relevant	与……有关的
respectable	可尊敬的
rewarding	值得的
tedious	冗长的，乏味的
trivial	琐碎的，不重要的
turbulent	动荡的，混乱的
underlying	潜在的
versatile	多才多艺的
vivid	生动的，栩栩如生的
void	无效的
vulnerable	易受伤的
worth	值得
